BAEL_rules
----------------------------------------------------------------------
             ro             uxu             uyu           uxser           uyser
           0.40          0.1094           0.250          0.1115           0.293
           0.41          0.1078           0.250          0.1100           0.301
           0.42          0.1062           0.250          0.1086           0.309
           0.43          0.1047           0.250          0.1072           0.317
           0.44          0.1032           0.250          0.1059           0.325
           0.45          0.1017           0.250          0.1046           0.333
           0.46          0.1002           0.250          0.1032           0.341
           0.47          0.0988           0.250          0.1019           0.349
           0.48          0.0974           0.250          0.1006           0.357
           0.49          0.0960           0.250          0.0993           0.365
           0.50          0.0946           0.250          0.0981           0.373
           0.51          0.0932           0.250          0.0969           0.382
           0.52          0.0918           0.250          0.0957           0.391
           0.53          0.0905           0.250          0.0945           0.400
           0.54          0.0892           0.250          0.0933           0.410
           0.55          0.0879           0.250          0.0921           0.420
           0.56          0.0855           0.253          0.0909           0.431
           0.57          0.0852           0.266          0.0897           0.442
           0.58          0.0838           0.279          0.0885           0.453
           0.59          0.0825           0.292          0.0873           0.465
           0.60          0.0812           0.305          0.0861           0.476
           0.61          0.0798           0.317          0.0849           0.487
           0.62          0.0785           0.330          0.0837           0.497
           0.63          0.0772           0.343          0.0825           0.508
           0.64          0.0759           0.356          0.0813           0.519
           0.65          0.0746           0.369          0.0801           0.530
           0.66          0.0733           0.382          0.0789           0.541
           0.67          0.0720           0.395          0.0777           0.552
           0.68          0.0707           0.408          0.0766           0.563
           0.69          0.0695           0.422          0.0754           0.574
           0.70          0.0683           0.436          0.0743           0.585
           0.71          0.0670           0.450          0.0731           0.596
           0.72          0.0658           0.464          0.0719           0.608
           0.73          0.0646           0.479          0.0708           0.620
           0.74          0.0634           0.494          0.0696           0.632
           0.75          0.0622           0.509          0.0685           0.644
           0.76          0.0610           0.525          0.0674           0.657
           0.77          0.0598           0.542          0.0663           0.670
           0.78          0.0587           0.559          0.0652           0.683
           0.79          0.0576           0.577          0.0642           0.696
           0.80          0.0565           0.595          0.0632           0.710
           0.81          0.0553           0.613          0.0621           0.723
           0.82          0.0542           0.631          0.0610           0.737
           0.83          0.0531           0.649          0.0600           0.750
           0.84          0.0520           0.667          0.0589           0.764
           0.85          0.0509           0.685          0.0579           0.778
           0.86          0.0498           0.693          0.0569           0.791
           0.87          0.0488           0.721          0.0559           0.804
           0.88          0.0478           0.740          0.0549           0.818
           0.89          0.0468           0.759          0.0539           0.832
           0.90          0.0458           0.778          0.0529           0.846
           0.91          0.0448           0.798          0.0519           0.861
           0.92          0.0438           0.819          0.0510           0.875
           0.93          0.0428           0.841          0.0500           0.891
           0.94          0.0419           0.864          0.0491           0.906
           0.95          0.0410           0.888          0.0483           0.923
           0.96          0.0401           0.911          0.0475           0.939
           0.97          0.0393           0.934          0.0467           0.954
           0.98          0.0385           0.956          0.0459           0.970
           0.99          0.0377           0.978          0.0451           0.985
           1.00          0.0368           1.000          0.0442           1.000
